date,tenant_id,channel,parish,spend,impressions,clicks,conversions,revenue,roas
2025-12-13,bank-of-jamaica,TikTok,Trelawny,354.81,663,10,0,889.22,2.51
2025-12-13,bank-of-jamaica,TikTok,St Elizabeth,10309.65,19270,294,3,25837.56,2.51
2025-12-14,bank-of-jamaica,TikTok,Kingston,12228.02,23200,370,4,29593.15,2.42
2025-12-14,bank-of-jamaica,TikTok,St Andrew,3635.96,6898,110,1,8799.43,2.42
2025-12-14,bank-of-jamaica,TikTok,St Catherine,9120.36,17304,276,3,22072.26,2.42
2025-12-14,bank-of-jamaica,TikTok,Clarendon,13017.8,24698,394,4,31504.5,2.42
2025-12-14,bank-of-jamaica,TikTok,Manchester,306.43,581,9,0,741.61,2.42
2025-12-14,bank-of-jamaica,TikTok,St Ann,9808.07,18608,297,3,23736.6,2.42
2025-12-14,bank-of-jamaica,TikTok,St Mary,10895.65,20672,330,4,26368.66,2.42
2025-12-14,bank-of-jamaica,TikTok,Portland,12132.65,23019,368,4,29362.35,2.42
2025-12-14,bank-of-jamaica,TikTok,St Thomas,1909.62,3623,57,0,4621.5,2.42
2025-12-14,bank-of-jamaica,TikTok,St James,7194.24,13649,218,2,17410.86,2.42
2025-12-14,bank-of-jamaica,TikTok,Hanover,530.96,1007,16,0,1284.98,2.42
2025-12-14,bank-of-jamaica,TikTok,Westmoreland,801.62,1520,24,0,1940.0,2.42
2025-12-14,bank-of-jamaica,TikTok,Trelawny,2151.71,4082,65,0,5207.37,2.42
2025-12-14,bank-of-jamaica,TikTok,St Elizabeth,28909.15,54849,876,10,69963.31,2.42
2025-12-15,bank-of-jamaica,TikTok,Kingston,12222.59,21834,355,4,31539.75,2.58
2025-12-15,bank-of-jamaica,TikTok,St Andrew,27731.23,49540,806,10,71558.98,2.58
2025-12-15,bank-of-jamaica,TikTok,St Catherine,6722.84,12009,195,2,17347.93,2.58
2025-12-15,bank-of-jamaica,TikTok,Clarendon,18976.57,33900,552,7,48968.05,2.58
2025-12-15,bank-of-jamaica,TikTok,Manchester,1219.38,2178,35,0,3146.54,2.58
2025-12-15,bank-of-jamaica,TikTok,St Ann,12627.54,22558,367,4,32584.72,2.58
2025-12-15,bank-of-jamaica,TikTok,St Mary,4666.55,8336,135,1,12041.79,2.58
2025-12-15,bank-of-jamaica,TikTok,Portland,84.29,150,2,0,217.51,2.58
2025-12-15,bank-of-jamaica,TikTok,St Thomas,4296.45,7675,125,1,11086.75,2.58
2025-12-15,bank-of-jamaica,TikTok,St James,15291.91,27318,444,5,39459.98,2.58
2025-12-15,bank-of-jamaica,TikTok,Hanover,3699.52,6608,107,1,9546.43,2.58
2025-12-15,bank-of-jamaica,TikTok,Westmoreland,5032.65,8990,146,1,12986.5,2.58
2025-12-15,bank-of-jamaica,TikTok,Trelawny,2872.62,5131,83,1,7412.63,2.58
2025-12-15,bank-of-jamaica,TikTok,St Elizabeth,7346.62,13124,213,2,18957.58,2.58
2025-12-16,bank-of-jamaica,TikTok,Kingston,9576.11,17161,262,3,20968.27,2.19
2025-12-16,bank-of-jamaica,TikTok,St Andrew,34667.93,62128,951,11,75910.4,2.19
2025-12-16,bank-of-jamaica,TikTok,St Catherine,11746.69,21051,322,3,25721.06,2.19
2025-12-16,bank-of-jamaica,TikTok,Clarendon,3060.3,5484,83,1,6700.96,2.19
2025-12-16,bank-of-jamaica,TikTok,Manchester,1800.31,3226,49,0,3942.04,2.19
2025-12-16,bank-of-jamaica,TikTok,St Ann,6395.31,11461,175,2,14003.45,2.19
2025-12-16,bank-of-jamaica,TikTok,St Mary,1090.88,1954,29,0,2388.65,2.19
2025-12-16,bank-of-jamaica,TikTok,Portland,11810.73,21165,324,3,25861.28,2.19
2025-12-16,bank-of-jamaica,TikTok,St Thomas,3463.3,6206,95,1,7583.4,2.19
2025-12-16,bank-of-jamaica,TikTok,St James,4418.03,7917,121,1,9673.91,2.19
2025-12-16,bank-of-jamaica,TikTok,Hanover,279.75,501,7,0,612.55,2.19
2025-12-16,bank-of-jamaica,TikTok,Westmoreland,12440.07,22293,341,4,27239.31,2.19
2025-12-16,bank-of-jamaica,TikTok,Trelawny,16332.68,29269,448,5,35762.74,2.19
2025-12-16,bank-of-jamaica,TikTok,St Elizabeth,3611.17,6471,99,1,7907.17,2.19
2025-12-17,bank-of-jamaica,TikTok,Kingston,29774.07,56812,1044,13,92192.4,3.1
2025-12-17,bank-of-jamaica,TikTok,St Andrew,32394.35,61811,1136,14,100305.86,3.1
2025-12-17,bank-of-jamaica,TikTok,St Catherine,3165.98,6041,111,1,9803.14,3.1
2025-12-17,bank-of-jamaica,TikTok,Clarendon,773.86,1476,27,0,2396.18,3.1
2025-12-17,bank-of-jamaica,TikTok,Manchester,4851.84,9257,170,2,15023.25,3.1
2025-12-17,bank-of-jamaica,TikTok,St Ann,2230.16,4255,78,1,6905.47,3.1
2025-12-17,bank-of-jamaica,TikTok,St Mary,6951.92,13265,243,3,21525.91,3.1
2025-12-17,bank-of-jamaica,TikTok,Portland,5166.78,9858,181,2,15998.43,3.1
2025-12-17,bank-of-jamaica,TikTok,St Thomas,6014.96,11477,211,2,18624.73,3.1
2025-12-17,bank-of-jamaica,TikTok,St James,14552.18,27767,510,6,45059.35,3.1
2025-12-17,bank-of-jamaica,TikTok,Hanover,5003.57,9547,175,2,15493.04,3.1
2025-12-17,bank-of-jamaica,TikTok,Westmoreland,12339.86,23545,432,5,38209.14,3.1
2025-12-17,bank-of-jamaica,TikTok,Trelawny,2004.47,3824,70,0,6206.64,3.1
2025-12-17,bank-of-jamaica,TikTok,St Elizabeth,331.19,631,11,0,1025.49,3.1
2025-12-18,bank-of-jamaica,TikTok,Kingston,13108.62,24576,390,5,33678.69,2.57
2025-12-18,bank-of-jamaica,TikTok,St Andrew,11619.04,21783,346,4,29851.65,2.57
2025-12-18,bank-of-jamaica,TikTok,St Catherine,30311.62,56829,903,11,77876.63,2.57
2025-12-18,bank-of-jamaica,TikTok,Clarendon,11128.13,20863,331,4,28590.4,2.57
2025-12-18,bank-of-jamaica,TikTok,Manchester,9115.51,17090,271,3,23419.58,2.57
2025-12-18,bank-of-jamaica,TikTok,St Ann,3180.08,5962,94,1,8170.26,2.57
2025-12-18,bank-of-jamaica,TikTok,St Mary,4760.03,8924,141,1,12229.47,2.57
2025-12-18,bank-of-jamaica,TikTok,Portland,12342.81,23140,367,4,31711.15,2.57
2025-12-18,bank-of-jamaica,TikTok,St Thomas,4245.85,7960,126,1,10908.43,2.57
2025-12-18,bank-of-jamaica,TikTok,St James,16143.71,30266,481,6,41476.44,2.57
2025-12-18,bank-of-jamaica,TikTok,Hanover,15.9,29,0,0,40.85,2.57
2025-12-18,bank-of-jamaica,TikTok,Westmoreland,3898.83,7309,116,1,10016.89,2.57
2025-12-18,bank-of-jamaica,TikTok,Trelawny,537.35,1007,16,0,1380.57,2.57
2025-12-18,bank-of-jamaica,TikTok,St Elizabeth,16380.26,30710,488,6,42084.17,2.57
2025-12-19,bank-of-jamaica,TikTok,Kingston,6574.11,12656,203,2,15723.1,2.39
2025-12-19,bank-of-jamaica,TikTok,St Andrew,5746.37,11063,178,2,13743.42,2.39
2025-12-19,bank-of-jamaica,TikTok,St Catherine,4957.31,9544,153,1,11856.25,2.39
2025-12-19,bank-of-jamaica,TikTok,Clarendon,13087.2,25195,406,4,31300.25,2.39
2025-12-19,bank-of-jamaica,TikTok,Manchester,13976.98,26909,433,5,33428.31,2.39
2025-12-19,bank-of-jamaica,TikTok,St Ann,15573.04,29981,483,5,37245.55,2.39
2025-12-19,bank-of-jamaica,TikTok,St Mary,955.86,1840,29,0,2286.11,2.39
2025-12-19,bank-of-jamaica,TikTok,Portland,8315.52,16009,258,3,19887.97,2.39
2025-12-19,bank-of-jamaica,TikTok,St Thomas,48557.44,93484,1506,17,116133.34,2.39
2025-12-19,bank-of-jamaica,TikTok,St James,15040.49,28956,466,5,35971.88,2.39
2025-12-19,bank-of-jamaica,TikTok,Hanover,4888.74,9411,151,1,11692.26,2.39
2025-12-19,bank-of-jamaica,TikTok,Westmoreland,757.85,1459,23,0,1812.53,2.39
2025-12-19,bank-of-jamaica,TikTok,Trelawny,1530.45,2946,47,0,3660.34,2.39
2025-12-19,bank-of-jamaica,TikTok,St Elizabeth,46.24,89,1,0,110.58,2.39
2025-12-20,bank-of-jamaica,TikTok,Kingston,18879.05,33607,568,6,40309.64,2.14
2025-12-20,bank-of-jamaica,TikTok,St Andrew,10780.58,19191,324,3,23018.17,2.14
2025-12-20,bank-of-jamaica,TikTok,St Catherine,5040.32,8972,151,1,10761.85,2.14
2025-12-20,bank-of-jamaica,TikTok,Clarendon,24600.31,43792,741,8,52525.39,2.14
2025-12-20,bank-of-jamaica,TikTok,Manchester,9258.28,16481,278,3,19767.83,2.14
2025-12-20,bank-of-jamaica,TikTok,St Ann,5922.3,10542,178,1,12645.01,2.14
2025-12-20,bank-of-jamaica,TikTok,St Mary,1044.41,1859,31,0,2229.97,2.14
2025-12-20,bank-of-jamaica,TikTok,Portland,185.99,331,5,0,397.12,2.14
